1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
1.0864571428571428E-6; 0.48333185; 0.056905472636815925; 0.14360149253731344; 1.0; 0.07444179104477612; 0.030574577114427858; 0.5014210308248903; 0
